 Subj,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
"MATH","260","Foundations of Geometry","90783","A","LEC","M","23","14","09:35","10:25","M  W  F   ","VOTEY","223","Lawlor, John Charles","3"
"MATH","271","Adv Engineering Mathematics","90777","A","LEC","M","35","34","13:00","14:15"," T  R    ","TORREY","203","Golden, Kenneth Ivan","3"
"MATH","271","Adv Engineering Mathematics","93928","Z1","LEC","C","23","17","16:05","17:20","M  W     ","VOTEY","223","Burgmeier, James William","3"
"MATH","293","Undergraduate Honors Thesis","91498","A","H","M","5","2","TBA","","       ","","","Burgmeier, James William","3 to 4"
"MATH","295","Mathematical Cryptography","93918","A","LEC","M","35","36","12:50","13:40","M  W  F   ","VOTEY","209","Voight, John ","3"
"MATH","330","Adv Ordinary Diff Equations","94423","A","LEC","M","20","18","13:00","14:15"," T  R    ","VOTEY","223","Yang, Jianke ","3"
"MATH","333","Thry Functions Real Variables","90784","A","LEC","M","20","7","10:40","11:30","M  W  F   ","TORREY","203","Sands, Jonathan W.","4"
"MATH","391","Master's Thesis Research","90785","A","TD","M","1","2","TBA","","       ","","","Voight, John ","1 to 18"
"MATH","391","Master's Thesis Research","90786","B","TD","M","1","1","TBA","","       ","","","Yang, Jianke ","1 to 18"
"MATH","391","Master's Thesis Research","94982","C","TD","M","1","1","TBA","","       ","ONCMP","SEE NOTES","Warrington, Gregory ","1 to 18"
"MATH","491","Doctoral Dissertation Research","90787","A","TD","M","1","2","TBA","","       ","","","Danforth, Chris ","1 to 18"
"MATH","491","Doctoral Dissertation Research","90788","B","TD","M","1","2","TBA","","       ","","","Dodds, Peter ","1 to 18"
"MATH","491","Doctoral Dissertation Research","90789","C","TD","M","1","0","TBA","","       ","","","Pinder, George Francis","1 to 18"
"MATH","491","Doctoral Dissertation Research","90790","D","TD","M","1","0","TBA","","       ","","","Yu, Jun ","1 to 18"
"MATH","491","Doctoral Dissertation Research","93502","F","TD","M","1","1","TBA","","       ","","","Yang, Jianke ","1 to 18"
"MATS","391","Master's Thesis Research","90735","A","TD","M","20","0","TBA","","       ","","","Headrick, Randall L.","1 to 18"
