 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor First,Instructor Last,Credits
POLS,041,Intro Prob Political Thought,93467,C,LEC,M,157,141,16:00,17:15, T  R    ,FLEMIN,101,Jan,Feldman,3
POLS,041,Intro Prob Political Thought,94058,Z1,SEM,C,1,1,16:00,17:15, T  R    ,FLEMIN,101,Jan,Feldman,3
POLS,051,Intro International Relations,93444,A,LEC,M,108,107,11:45,12:35,M  W  F   ,LAFAYE,L207,Robert,Bartlett,3
POLS,071,TAP:Comparative Pol Systems,93441,A,SEM,M,22,21,09:35,10:25,M  W  F   ,OLDMIL,523,Peter,VonDoepp,3
POLS,071,TAP:Comparative Pol Systems,93455,B,SEM,M,22,19,10:00,11:15, T  R    ,OLDMIL,523,Caroline,Beer,3
POLS,071,Comparative Political Systems,93446,C,LEC,M,108,107,12:50,13:40,M  W  F   ,WATERM,413,Matthew,Carlson,3
POLS,095,Politics Without Mass Media,94273,Z1,LEC,C,25,27,16:00,18:45, T      ,LAFAYE,L107,Jon,Margolis,3
POLS,122,Constitutional Law:Gov Powers,93460,A,LEC,M,41,41,13:00,14:15, T  R    ,LAFAYE,L302,Lisa,Holmes,3
POLS,124,The Presidency,93440,A,LEC,M,108,107,09:35,10:25,M  W  F   ,LAFAYE,L207,John,Burke,3
POLS,125,Political Parties & Elections,93443,A,LEC,M,41,40,10:40,11:30,M  W  F   ,LAFAYE,L111,Deborah,Guber,3
POLS,131,Political Leadership,93466,A,LEC,M,41,41,16:00,17:15, T  R    ,LAFAYE,L100,Garrison,Nelson,3
POLS,137,Politics and The Media,93451,A,LEC,M,41,42,16:05,17:20,M  W     ,LAFAYE,L102,Anthony,Gierzynski,3
POLS,138,Const Law: Civil Liberties,93457,A,LEC,M,41,41,11:30,12:45, T  R    ,LAFAYE,L100,Ellen,Andersen,3
POLS,138,Const Law: Civil Liberties,94274,Z1,LEC,C,25,24,17:10,20:00,M       ,LAFAYE,L403,Bageshree,Blasius,3
POLS,142,History of Political Thought,93464,A,LEC,M,108,103,14:30,15:45, T  R    ,LAFAYE,L108,Patrick,Neal,3
POLS,149,Democratic Theory,93454,A,LEC,M,41,41,10:00,11:15, T  R    ,LAFAYE,L311,Alex,Zakaras,3
POLS,157,D2:Internatl Politics Middle E,94233,A,LEC,M,41,41,11:30,12:45, T  R    ,LAFAYE,L302,Gordon,Robison,3
POLS,177,D2: Pol Systs of Trop Africa,93447,A,LEC,M,41,41,12:50,13:40,M  W  F   ,LAFAYE,L100,Peter,VonDoepp,3
POLS,181,Fund of Social Research,91949,A,LCLB,M,1,1,08:30,10:35, T  R    ,LAFAYE,L309,H.,McCann,4
POLS,181,Fund of Social Research,92027,B,LCLB,M,1,1,09:35,10:25,    F   ,LAFAYE,L309,Daniel,Krymkowski,4
POLS,191,Internships,91933,A,INTN,M,20,7,TBA,,       ,,,Anthony,Gierzynski,1 to 6
POLS,195,POLS HONS: Politics of E Asia,93452,A,LEC,M,32,17,16:05,17:20,M  W     ,LAFAYE,L300,Matthew,Carlson,3
POLS,195,Rgts in Int'l War on Terror,93678,Z1,LEC,C,25,24,17:10,20:10,  W     ,KALKIN,001,Alison,Arms,3
POLS,197,Readings & Research,91939,A,TD,M,12,4,TBA,,       ,,,Patrick,Neal,1 to 6
POLS,228,Congress & Foreign Policy,93453,A,SEM,M,17,12,16:05,19:05,  W     ,OLDMIL,523,Eileen,Burgin,3
POLS,229,Race & American Political Dev,93450,A,SEM,M,17,16,15:00,16:15,M  W     ,OMANEX,A500,Alec,Ewald,3
POLS,229,Democratic Possibility,93468,B,SEM,M,17,17,16:00,18:45, T      ,OLDMIL,523,Frank,Bryan,3
POLS,235,Gender and Law,93456,A,SEM,M,14,15,10:00,11:15, T  R    ,OMANEX,A500,Lisa,Holmes,3
POLS,249,Theories of Citizenship,93463,A,SEM,M,17,17,13:00,14:15, T  R    ,OMANEX,A500,Jan,Feldman,3
POLS,259,The Media and the Middle East,94234,A,SEM,M,17,17,14:30,15:45, T  R    ,OMANEX,A500,Gordon,Robison,3
POLS,279,Women in Latin American Pol,93462,A,SEM,M,17,16,13:00,14:15, T  R    ,OLDMIL,523,Caroline,Beer,3
POLS,293,Senior Honors Seminar I,91871,A,SEM,M,20,21,13:55,14:45,M  W  F   ,OLDMIL,523,Deborah,Guber,3
POLS,295,National Security Policy Mkg,93448,A,SEM,M,17,18,11:45,12:35,M  W  F   ,OLDMIL,523,John,Burke,3
POLS,297,Advanced Readings & Research,91941,A,TD,M,12,4,TBA,,       ,,,Patrick,Neal,3
PRNU,110,Art & Science of Nursing,90228,A,LEC,M,85,70,13:55,14:45,M  W  F   ,AIKEN,104,Marcia,Ring,3
PRNU,127,SL: Hlth Prom Across Lifespan,90229,A,LEC,M,74,69,12:50,15:50,M       ,TERRIL,108,Margaret,Poppe,3
PRNU,128,Nurs Implications Drug Therapy,90230,A,LEC,M,74,69,08:30,11:30,M       ,TERRIL,108,Linda,Greenfield,3
